filepath,category,width,height
dataset/train/tops/top_0260_augmented_0.jpeg,tops,430,574
dataset/train/tops/top_0063_augmented_0.jpeg,tops,480,640
dataset/train/tops/top_0465_augmented_0.jpeg,tops,513,684
dataset/train/tops/top_0116_augmented_2.jpeg,tops,480,640
dataset/train/tops/top_0128_augmented_2.jpeg,tops,480,640
dataset/train/tops/top_0483_augmented_0.jpeg,tops,480,640
dataset/train/tops/top_0315_augmented_2.jpeg,tops,491,655
dataset/train/tops/top_0510_augmented_2.jpeg,tops,360,640
dataset/train/tops/top_0218.jpeg,tops,360,640
dataset/train/tops/top_0286_augmented_0.jpeg,tops,480,640
dataset/train/tops/top_0085_augmented_0.jpeg,tops,480,640
dataset/train/tops/top_0417_augmented_2.jpeg,tops,480,640
dataset/train/tops/top_0381_augmented_0.jpeg,tops,545,725
dataset/train/tops/top_0182_augmented_0.jpeg,tops,480,640
dataset/train/tops/top_0429_augmented_2.jpeg,tops,480,640
dataset/train/tops/top_0011_augmented_2.jpeg,tops,360,640
dataset/train/tops/top_0131.jpeg,tops,480,640
dataset/train/tops/top_0212_augmented_2.jpeg,tops,554,737
dataset/train/tops/top_0424.jpeg,tops,480,640
dataset/train/tops/top_0074.jpeg,tops,480,640
dataset/train/tops/top_0367_augmented_0.jpeg,tops,601,338
dataset/train/tops/top_0359_augmented_0.jpeg,tops,481,640
dataset/train/tops/top_0164_augmented_0.jpeg,tops,480,640
dataset/train/tops/top_0201_augmented_1.jpeg,tops,480,640
dataset/train/tops/top_0002_augmented_1.jpeg,tops,440,587
dataset/train/tops/top_0191_augmented_3.jpeg,tops,388,517
dataset/train/tops/top_0392_augmented_3.jpeg,tops,480,640
dataset/train/tops/top_0404_augmented_1.jpeg,tops,480,640
dataset/train/tops/top_0177_augmented_3.jpeg,tops,558,744
dataset/train/tops/top_0149_augmented_3.jpeg,tops,640,360
dataset/train/tops/top_0374_augmented_3.jpeg,tops,481,640
dataset/train/tops/top_0476_augmented_3.jpeg,tops,760,427
dataset/train/tops/top_0166.jpeg,tops,480,640
dataset/train/tops/top_0536.jpeg,tops,481,640
dataset/train/tops/top_0448_augmented_3.jpeg,tops,564,752
dataset/train/tops/top_0070_augmented_3.jpeg,tops,481,640
dataset/train/tops/top_0273_augmented_3.jpeg,tops,487,648
dataset/train/tops/top_0096_augmented_3.jpeg,tops,388,518
dataset/train/tops/top_0295_augmented_3.jpeg,tops,472,629
dataset/train/tops/top_0503_augmented_1.jpeg,tops,640,481
dataset/train/tops/top_0023.jpeg,tops,481,640
dataset/train/tops/top_0306_augmented_1.jpeg,tops,640,360
dataset/train/tops/top_0490_augmented_3.jpeg,tops,480,640
dataset/train/tops/top_0338_augmented_1.jpeg,tops,563,751
dataset/train/tops/top_0473.jpeg,tops,480,640
dataset/train/tops/top_0105_augmented_1.jpeg,tops,480,640
dataset/train/tops/top_0189.jpeg,tops,360,640
dataset/train/tops/top_0067_augmented_1.jpeg,tops,480,640
dataset/train/tops/top_0059_augmented_1.jpeg,tops,480,640
dataset/train/tops/top_0264_augmented_1.jpeg,tops,412,549
dataset/train/tops/top_0461_augmented_1.jpeg,tops,640,480
dataset/train/tops/top_0311_augmented_3.jpeg,tops,481,640
dataset/train/tops/top_0487_augmented_1.jpeg,tops,480,640
dataset/train/tops/top_0112_augmented_3.jpeg,tops,504,672
dataset/train/tops/top_0259.jpeg,tops,481,640
dataset/train/tops/top_0081_augmented_1.jpeg,tops,640,360
dataset/train/tops/top_0282_augmented_1.jpeg,tops,425,565
dataset/train/tops/top_0514_augmented_3.jpeg,tops,506,675
dataset/train/tops/top_0186_augmented_1.jpeg,tops,480,640
dataset/train/tops/top_0385_augmented_1.jpeg,tops,348,619
dataset/train/tops/top_0413_augmented_3.jpeg,tops,480,640
dataset/train/tops/top_0520.jpeg,tops,360,640
dataset/train/tops/top_0216_augmented_3.jpeg,tops,481,640
dataset/train/tops/top_0170.jpeg,tops,480,640
dataset/train/tops/top_0228_augmented_3.jpeg,tops,390,694
dataset/train/tops/top_0015_augmented_3.jpeg,tops,480,640
dataset/train/tops/top_0465.jpeg,tops,480,640
dataset/train/tops/top_0035.jpeg,tops,480,640
dataset/train/tops/top_0160_augmented_1.jpeg,tops,683,384
dataset/train/tops/top_0363_augmented_1.jpeg,tops,640,481
dataset/train/tops/top_0006_augmented_0.jpeg,tops,397,706
dataset/train/tops/top_0038_augmented_0.jpeg,tops,640,360
dataset/train/tops/top_0205_augmented_0.jpeg,tops,481,640
dataset/train/tops/top_0400_augmented_0.jpeg,tops,481,640
dataset/train/tops/top_0396_augmented_2.jpeg,tops,480,640
dataset/train/tops/top_0195_augmented_2.jpeg,tops,480,640
dataset/train/tops/top_0370_augmented_2.jpeg,tops,371,659
dataset/train/tops/top_0173_augmented_2.jpeg,tops,640,360
dataset/train/tops/top_0127.jpeg,tops,480,640
dataset/train/tops/top_0472_augmented_2.jpeg,tops,453,605
dataset/train/tops/top_0277_augmented_2.jpeg,tops,480,640
dataset/train/tops/top_0249_augmented_2.jpeg,tops,480,640
dataset/train/tops/top_0074_augmented_2.jpeg,tops,480,640
dataset/train/tops/top_0507_augmented_0.jpeg,tops,388,518
dataset/train/tops/top_0291_augmented_2.jpeg,tops,481,640
dataset/train/tops/top_0092_augmented_2.jpeg,tops,290,516
dataset/train/tops/top_0539_augmented_0.jpeg,tops,640,360
dataset/train/tops/top_0062.jpeg,tops,360,640
dataset/train/tops/top_0101_augmented_0.jpeg,tops,483,644
dataset/train/tops/top_0432.jpeg,tops,481,640
dataset/train/tops/top_0494_augmented_2.jpeg,tops,480,640
dataset/train/tops/top_0302_augmented_0.jpeg,tops,480,640
dataset/train/tops/top_0453_augmented_2.jpeg,tops,539,719
dataset/train/tops/top_0275.jpeg,tops,481,640
dataset/train/tops/top_0055_augmented_2.jpeg,tops,480,640
dataset/train/tops/top_0268_augmented_2.jpeg,tops,480,640
dataset/train/tops/top_0256_augmented_2.jpeg,tops,429,572
dataset/train/tops/top_0518_augmented_0.jpeg,tops,385,513
dataset/train/tops/top_0526_augmented_0.jpeg,tops,731,411
dataset/train/tops/top_0323_augmented_0.jpeg,tops,438,584
dataset/train/tops/top_0330.jpeg,tops,480,640
dataset/train/tops/top_0120_augmented_0.jpeg,tops,480,640
dataset/train/tops/top_0224_augmented_0.jpeg,tops,480,640
dataset/train/tops/top_0019_augmented_0.jpeg,tops,480,640
dataset/train/tops/top_0027_augmented_0.jpeg,tops,360,640
dataset/train/tops/top_0019.jpeg,tops,480,640
dataset/train/tops/top_0389_augmented_2.jpeg,tops,480,640
dataset/train/tops/top_0449.jpeg,tops,481,640
dataset/train/tops/top_0421_augmented_0.jpeg,tops,480,640
dataset/train/tops/top_0152_augmented_2.jpeg,tops,417,556
dataset/train/tops/top_0351_augmented_2.jpeg,tops,480,640
dataset/train/tops/top_0199_augmented_1.jpeg,tops,360,640
dataset/train/tops/top_0432_augmented_3.jpeg,tops,572,761
dataset/train/tops/top_0222.jpeg,tops,480,640
dataset/train/tops/top_0034_augmented_3.jpeg,tops,512,683
dataset/train/tops/top_0209_augmented_3.jpeg,tops,716,402
dataset/train/tops/top_0237_augmented_3.jpeg,tops,452,603
dataset/train/tops/top_0388.jpeg,tops,360,640
dataset/train/tops/top_0367.jpeg,tops,360,640
dataset/train/tops/top_0342_augmented_1.jpeg,tops,522,294
dataset/train/tops/top_0141_augmented_1.jpeg,tops,480,640
dataset/train/tops/top_0245_augmented_1.jpeg,tops,640,360
dataset/train/tops/top_0078_augmented_1.jpeg,tops,480,640
dataset/train/tops/top_0046_augmented_1.jpeg,tops,721,405
dataset/train/tops/top_0440_augmented_1.jpeg,tops,480,640
dataset/train/tops/top_0133_augmented_3.jpeg,tops,480,640
dataset/train/tops/top_0498_augmented_1.jpeg,tops,640,360
dataset/train/tops/top_0330_augmented_3.jpeg,tops,486,649
dataset/train/tops/top_0535_augmented_3.jpeg,tops,360,640
dataset/train/tops/top_0469_augmented_3.jpeg,tops,481,640
dataset/train/tops/top_0457_augmented_3.jpeg,tops,725,408
dataset/train/tops/top_0234.jpeg,tops,480,640
dataset/train/tops/top_0252_augmented_3.jpeg,tops,480,640
dataset/train/tops/top_0051_augmented_3.jpeg,tops,541,721
dataset/train/tops/top_0089_augmented_3.jpeg,tops,466,622
dataset/train/tops/top_0522_augmented_1.jpeg,tops,481,640
dataset/train/tops/top_0124_augmented_1.jpeg,tops,360,640
dataset/train/tops/top_0319_augmented_1.jpeg,tops,547,729
dataset/train/tops/top_0327_augmented_1.jpeg,tops,360,640
dataset/train/tops/top_0371.jpeg,tops,480,640
dataset/train/tops/top_0023_augmented_1.jpeg,tops,481,640
dataset/train/tops/top_0220_augmented_1.jpeg,tops,360,640
dataset/train/tops/top_0058.jpeg,tops,360,640
dataset/train/tops/top_0425_augmented_1.jpeg,tops,731,411
dataset/train/tops/top_0408.jpeg,tops,480,640
dataset/train/tops/top_0355_augmented_3.jpeg,tops,480,640
dataset/train/tops/top_0168_augmented_3.jpeg,tops,700,394
dataset/train/tops/top_0156_augmented_3.jpeg,tops,481,640
dataset/train/tops/top_0408_augmented_2.jpeg,tops,480,640
dataset/train/tops/top_0436_augmented_2.jpeg,tops,640,360
dataset/train/tops/top_0233_augmented_2.jpeg,tops,640,360
dataset/train/tops/top_0263.jpeg,tops,481,640
dataset/train/tops/top_0030_augmented_2.jpeg,tops,411,548
dataset/train/tops/top_0543_augmented_0.jpeg,tops,480,640
dataset/train/tops/top_0326.jpeg,tops,480,640
dataset/train/tops/top_0145_augmented_0.jpeg,tops,640,360
dataset/train/tops/top_0378_augmented_0.jpeg,tops,467,621
dataset/train/tops/top_0346_augmented_0.jpeg,tops,480,640
dataset/train/tops/top_0042_augmented_0.jpeg,tops,545,726
dataset/train/tops/top_0241_augmented_0.jpeg,tops,480,640
dataset/train/tops/top_0444_augmented_0.jpeg,tops,640,360
dataset/train/tops/top_0334_augmented_2.jpeg,tops,480,640
dataset/train/tops/top_0109_augmented_2.jpeg,tops,386,515
dataset/train/tops/top_0137_augmented_2.jpeg,tops,481,640
dataset/train/tops/top_0299_augmented_0.jpeg,tops,538,717
dataset/train/tops/top_0531_augmented_2.jpeg,tops,480,640
dataset/train/tops/top_0521_augmented_3.jpeg,tops,481,640
dataset/train/tops/top_0097.jpeg,tops,480,640
dataset/train/tops/top_0289_augmented_1.jpeg,tops,456,609
dataset/train/tops/top_0127_augmented_3.jpeg,tops,480,640
dataset/train/tops/top_0119_augmented_3.jpeg,tops,480,640
dataset/train/tops/top_0324_augmented_3.jpeg,tops,481,640
dataset/train/tops/top_0454_augmented_1.jpeg,tops,481,640
dataset/train/tops/top_0078.jpeg,tops,480,640
dataset/train/tops/top_0251_augmented_1.jpeg,tops,480,640
dataset/train/tops/top_0428.jpeg,tops,480,640
dataset/train/tops/top_0052_augmented_1.jpeg,tops,480,640
dataset/train/tops/top_0356_augmented_1.jpeg,tops,385,514
dataset/train/tops/top_0368_augmented_1.jpeg,tops,550,732
dataset/train/tops/top_0155_augmented_1.jpeg,tops,480,640
dataset/train/tops/top_0351.jpeg,tops,480,640
dataset/train/tops/top_0020_augmented_3.jpeg,tops,419,558
dataset/train/tops/top_0223_augmented_3.jpeg,tops,480,640
dataset/train/tops/top_0214.jpeg,tops,480,640
dataset/train/tops/top_0426_augmented_3.jpeg,tops,573,764
dataset/train/tops/top_0418_augmented_3.jpeg,tops,480,640
dataset/train/tops/top_0540_augmented_2.jpeg,tops,480,640
dataset/train/tops/top_0146_augmented_2.jpeg,tops,395,527
dataset/train/tops/top_0178_augmented_2.jpeg,tops,640,481
dataset/train/tops/top_0490.jpeg,tops,480,640
dataset/train/tops/top_0345_augmented_2.jpeg,tops,480,640
dataset/train/tops/top_0185.jpeg,tops,480,640
dataset/train/tops/top_0435_augmented_0.jpeg,tops,480,640
dataset/train/tops/top_0230_augmented_0.jpeg,tops,535,714
dataset/train/tops/top_0033_augmented_0.jpeg,tops,551,734
dataset/train/tops/top_0337_augmented_0.jpeg,tops,341,607
dataset/train/tops/top_0306.jpeg,tops,360,640
dataset/train/tops/top_0309_augmented_0.jpeg,tops,481,640
dataset/train/tops/top_0134_augmented_0.jpeg,tops,480,640
dataset/train/tops/top_0532_augmented_0.jpeg,tops,528,704
dataset/train/tops/top_0099_augmented_2.jpeg,tops,480,640
dataset/train/tops/top_0041_augmented_2.jpeg,tops,422,563
dataset/train/tops/top_0242_augmented_2.jpeg,tops,478,638
dataset/train/tops/top_0447_augmented_2.jpeg,tops,360,640
dataset/train/tops/top_0243.jpeg,tops,480,640
dataset/train/tops/top_0479_augmented_2.jpeg,tops,640,360
dataset/train/tops/top_0486.jpeg,tops,480,640
dataset/train/tops/top_0525_augmented_2.jpeg,tops,480,640
dataset/train/tops/top_0320_augmented_2.jpeg,tops,481,640
dataset/train/tops/top_0488_augmented_0.jpeg,tops,480,640
dataset/train/tops/top_0123_augmented_2.jpeg,tops,360,640
dataset/train/tops/top_0450_augmented_0.jpeg,tops,745,419
dataset/train/tops/top_0039.jpeg,tops,480,640
dataset/train/tops/top_0056_augmented_0.jpeg,tops,480,640
dataset/train/tops/top_0068_augmented_0.jpeg,tops,557,313
dataset/train/tops/top_0469.jpeg,tops,481,640
dataset/train/tops/top_0193.jpeg,tops,481,640
dataset/train/tops/top_0255_augmented_0.jpeg,tops,410,547
dataset/train/tops/top_0151_augmented_0.jpeg,tops,585,329
dataset/train/tops/top_0352_augmented_0.jpeg,tops,640,360
dataset/train/tops/top_0310.jpeg,tops,480,640
dataset/train/tops/top_0227_augmented_2.jpeg,tops,496,661
dataset/train/tops/top_0219_augmented_2.jpeg,tops,509,679
dataset/train/tops/top_0024_augmented_2.jpeg,tops,462,617
dataset/train/tops/top_0255.jpeg,tops,480,640
dataset/train/tops/top_0422_augmented_2.jpeg,tops,525,698
dataset/train/tops/top_0189_augmented_0.jpeg,tops,640,360
dataset/train/tops/top_0081.jpeg,tops,360,640
dataset/train/tops/top_0341_augmented_3.jpeg,tops,511,682
dataset/train/tops/top_0142_augmented_3.jpeg,tops,481,640
dataset/train/tops/top_0431_augmented_1.jpeg,tops,459,612
dataset/train/tops/top_0399_augmented_3.jpeg,tops,480,640
dataset/train/tops/top_0037_augmented_1.jpeg,tops,480,640
dataset/train/tops/top_0009_augmented_1.jpeg,tops,480,640
dataset/train/tops/top_0234_augmented_1.jpeg,tops,489,652
dataset/train/tops/top_0347.jpeg,tops,480,640
dataset/train/tops/top_0130_augmented_1.jpeg,tops,481,640
dataset/train/tops/top_0333_augmented_1.jpeg,tops,481,640
dataset/train/tops/top_0536_augmented_1.jpeg,tops,469,624
dataset/train/tops/top_0508_augmented_1.jpeg,tops,540,720
dataset/train/tops/top_0246_augmented_3.jpeg,tops,502,670
dataset/train/tops/top_0278_augmented_3.jpeg,tops,517,689
dataset/train/tops/top_0045_augmented_3.jpeg,tops,413,551
dataset/train/tops/top_0202.jpeg,tops,481,640
dataset/train/tops/top_0443_augmented_3.jpeg,tops,480,640
dataset/train/tops/top_0312_augmented_1.jpeg,tops,480,640
dataset/train/tops/top_0484_augmented_3.jpeg,tops,472,630
dataset/train/tops/top_0445.jpeg,tops,480,640
dataset/train/tops/top_0111_augmented_1.jpeg,tops,552,310
dataset/train/tops/top_0015.jpeg,tops,480,640
dataset/train/tops/top_0529_augmented_1.jpeg,tops,558,744
dataset/train/tops/top_0082_augmented_3.jpeg,tops,480,640
dataset/train/tops/top_0281_augmented_3.jpeg,tops,440,586
dataset/train/tops/top_0517_augmented_1.jpeg,tops,640,360
dataset/train/tops/top_0064_augmented_3.jpeg,tops,481,640
dataset/train/tops/top_0259_augmented_3.jpeg,tops,511,680
dataset/train/tops/top_0267_augmented_3.jpeg,tops,480,640
dataset/train/tops/top_0500.jpeg,tops,480,640
dataset/train/tops/top_0462_augmented_3.jpeg,tops,480,640
dataset/train/tops/top_0150.jpeg,tops,640,360
dataset/train/tops/top_0279.jpeg,tops,480,640
dataset/train/tops/top_0163_augmented_3.jpeg,tops,640,360
dataset/train/tops/top_0360_augmented_3.jpeg,tops,517,690
dataset/train/tops/top_0185_augmented_3.jpeg,tops,480,640
dataset/train/tops/top_0296.jpeg,tops,480,640
dataset/train/tops/top_0386_augmented_3.jpeg,tops,640,360
dataset/train/tops/top_0410_augmented_1.jpeg,tops,480,640
dataset/train/tops/top_0215_augmented_1.jpeg,tops,480,640
dataset/train/tops/top_0028_augmented_1.jpeg,tops,480,640
dataset/train/tops/top_0016_augmented_1.jpeg,tops,640,481
dataset/train/tops/top_0373_augmented_0.jpeg,tops,481,640
dataset/train/tops/top_0170_augmented_0.jpeg,tops,480,640
